state,timestamp,leading_candidate_name,trailing_candidate_name,leading_candidate_votes,trailing_candidate_votes,vote_differential,votes_remaining,new_votes,new_votes_relevant,new_votes_formatted,leading_candidate_partition,trailing_candidate_partition,precincts_reporting,precincts_total,hurdle,hurdle_change,hurdle_mov_avg,counties_partition,total_votes_count
Alaska (EV: 3),17:31.5,Trump,Biden,173233,138070,35163,40812,0,0,0,0,0,441,441,0.950015285,0,0.631833333,{},325194
Alaska (EV: 3),58:29.5,Trump,Biden,173233,138070,35163,40812,13161,11116,"11,116",0.384940626,0.615059374,441,441,0.950015285,0.084979147,0.631833333,{},325194
Alaska (EV: 3),28:29.7,Trump,Biden,168954,131233,37721,53973,25245,24451,"24,451",0.358308454,0.641691546,441,441,0.865036139,0.070643591,0.622466667,{},312033
Alaska (EV: 3),47:02.3,Trump,Biden,160193,115543,44650,79218,25805,25032,"25,032",0.462168424,0.537831576,441,441,0.794392548,0.062915195,0.536633333,"{'ED 13': 335, 'ED 14': 5505, 'ED 15': 347, 'ED 2': 1, 'ED 22': 1, 'ED 23': 223, 'ED 25': 253, 'ED 26': 3486, 'ED 27': 3444, 'ED 3': 277, 'ED 30': 4995, 'ED 32': 36, 'ED 33': 500, 'ED 35': 5343, 'ED 39': 10, 'ED 40': 12, 'ED 5': 259, 'ED 6': 554, 'ED 9': 224}",286788
Alaska (EV: 3),51:34.7,Trump,Biden,148624,102080,46544,105023,0,0,0,0,0,441,441,0.731477352,0,0.5444,{},260983
Alaska (EV: 3),19:23.9,Trump,Biden,148624,102080,46544,105023,20749,19943,"19,943",0.469337612,0.530662388,441,441,0.731477352,0.033108618,0.5444,"{'ED 1': 348, 'ED 11': 1428, 'ED 13': 147, 'ED 14': 156, 'ED 15': 238, 'ED 16': 380, 'ED 17': 449, 'ED 18': 190, 'ED 19': 1546, 'ED 2': 645, 'ED 20': 432, 'ED 21': 10, 'ED 22': 386, 'ED 23': 439, 'ED 24': 480, 'ED 25': 1191, 'ED 28': 453, 'ED 29': 1073, 'ED 30': 29, 'ED 33': 557, 'ED 34': 276, 'ED 4': 1709, 'ED 5': 833, 'ED 6': 2743, 'ED 8': 1735, 'ED 9': 2876}",260983
Alaska (EV: 3),59:01.1,Trump,Biden,139264,91497,47767,125772,0,0,0,0,0,441,441,0.698368734,0,0.571633333,{},240234
Alaska (EV: 3),51:01.8,Trump,Biden,139264,91497,47767,125772,49264,47671,"47,671",0.428352667,0.571647333,441,441,0.698368734,0.035447168,0.571647333,{},240234
Alaska (EV: 3),14:19.9,Trump,Biden,118844,64246,54598,175036,18939,18010,"18,010",0.589283731,0.410716269,441,441,0.662921566,0.024566691,0.362233333,{},190970
Alaska (EV: 3),40:57.3,Trump,Biden,108231,56849,51382,193975,39556,38323,"38,323",0.710591551,0.289408449,360,441,0.638354875,0.059535515,0.289408449,{},172031
Alaska (EV: 3),28:22.1,Trump,Biden,80999,45758,35241,233531,0,0,0,0,0,201,441,0.57881936,-0.42118064,,{},132475
Alabama (EV: 9),23:42.3,Trump,Biden,1434159,843473,590686,-56802,0,0,0,0,0,1970,2069,0,0,0.4486,{},2309900
Alabama (EV: 9),26:37.1,Trump,Biden,1434159,843473,590686,-56802,12684,12548,"12,548",0.286420147,0.713579853,1969,2069,0,0,0.4486,{'Tuscaloosa': 12684},2309900
Alabama (EV: 9),40:11.6,Trump,Biden,1430565,834519,596046,-44118,-408,-424,Unknown,-0.058962264,1.058962264,1962,2069,0,0,0.491133333,{},2297216
Alabama (EV: 9),12:19.9,Trump,Biden,1430540,834968,595572,-44526,153,10,10,0.3,0.7,1961,2069,0,0,0.494466667,"{'Choctaw': 41, 'Etowah': 102, 'Monroe': 10}",2297624
Alabama (EV: 9),00:38.2,Trump,Biden,1430537,834961,595576,-44373,2948,2938,"2,938",0.592239619,0.407760381,1961,2069,0,0,0.4945,"{'Jackson': 2635, 'Mobile': 313}",2297471
Alabama (EV: 9),28:27.9,Trump,Biden,1428797,833763,595034,-41425,67,54,54,-18.7037037,19.7037037,1958,2069,0,0,0.5352,{'Marshall': 67},2294523
Alabama (EV: 9),23:38.1,Trump,Biden,1429807,832699,597108,-41358,14975,13958,"13,958",0.868892391,0.131107609,1958,2069,0,0,0.5012,"{'Clay': 9, 'Mobile': 504, 'Montgomery': 375, 'Tallapoosa': 2805, 'Washington': 9, 'Winston': 11273}",2294456
Alabama (EV: 9),16:47.7,Trump,Biden,1417679,830869,586810,-26383,49226,48782,"48,782",0.17678652,0.82321348,1937,2069,0,-14.22639962,0.82321348,{'Jefferson': 49226},2279481
Alabama (EV: 9),28:22.1,Trump,Biden,1409055,790711,618344,22843,0,0,0,0,0,1912,2069,14.22639962,13.22639962,,{},2230255
Arkansas (EV: 6),46:58.1,Trump,Biden,757273,418211,339062,40292,11,11,11,0.727272727,0.272727273,2412,2579,4.830251851,0.001245706,0.3242,{'Boone': 11},1209761
Arkansas (EV: 6),51:38.6,Trump,Biden,757265,418208,339057,40303,61,60,60,0.716666667,0.283333333,2412,2579,4.829006146,0.006873661,0.3242,"{'Calhoun': 39, 'Marion': 22}",1209750
Arkansas (EV: 6),16:31.6,Trump,Biden,757222,418191,339031,40364,54,53,53,0.452830189,0.547169811,2412,2579,4.822132485,0.005710878,0.3241,{'Hot Spring': 54},1209689
Arkansas (EV: 6),53:30.9,Trump,Biden,757198,418162,339036,40418,10,10,10,0.2,0.8,2412,2579,4.816421607,0.000991311,0.323566667,{'Chicot': 10},1209635
Arkansas (EV: 6),32:32.8,Trump,Biden,757196,418154,339042,40428,6,6,6,0.666666667,0.333333333,2412,2579,4.815430296,0.000665819,0.323366667,{'Garland': 6},1209625
Arkansas (EV: 6),42:51.7,Trump,Biden,757192,418152,339040,40434,163,159,159,0.534591195,0.465408805,2412,2579,4.814764476,0.017463532,0.323333333,"{'Craighead': 147, 'Howard': 16}",1209619
Arkansas (EV: 6),36:10.3,Trump,Biden,757107,418078,339029,40597,22,21,21,0.80952381,0.19047619,2412,2579,4.797300945,0.002492187,0.322133333,{'Polk': 22},1209456
Arkansas (EV: 6),15:30.3,Trump,Biden,757090,418074,339016,40619,12,12,12,0.833333333,0.166666667,2412,2579,4.794808758,0.001369751,0.322166667,{'Cleveland': 12},1209434
Arkansas (EV: 6),58:31.8,Trump,Biden,757080,418072,339008,40631,5,5,5,0.4,0.6,2412,2579,4.793439007,0.000515617,0.3222,{'Clay': 5},1209422
Arkansas (EV: 6),07:44.5,Trump,Biden,757078,418069,339009,40636,15,15,15,0.666666667,0.333333333,2412,2579,4.79292339,0.001647358,0.322133333,{'Jackson': 15},1209417
Arkansas (EV: 6),07:44.3,Trump,Biden,757068,418064,339004,40651,7,7,7,0,1,2412,2579,4.791276032,0.000650226,0.322066667,{'Woodruff': 7},1209402
Arkansas (EV: 6),38:43.7,Trump,Biden,757068,418057,339011,40658,22,21,21,0.714285714,0.285714286,2412,2579,4.790625806,0.002434243,0.3219,{'Sharp': 22},1209395
Arkansas (EV: 6),47:02.3,Trump,Biden,757053,418051,339002,40680,1,1,1,1,0,2412,2579,4.788191563,0.000118059,0.321866667,{'Desha': 1},1209373
Arkansas (EV: 6),23:42.3,Trump,Biden,757052,418051,339001,40681,0,0,0,0,0,2412,2579,4.788073504,0,0.321866667,{},1209372
Arkansas (EV: 6),53:23.1,Trump,Biden,757052,418051,339001,40681,12,12,12,0.916666667,0.083333333,2409,2579,4.788073504,0.001390969,0.321866667,{'Franklin': 12},1209372
