timestamp	tweet
2020-11-21 23:13:41	The Media is just as corrupt as the Election itself!
2020-11-21 22:48:57	Fake News always “forgets” to mention that far fewer people are dying when they get Covid. This is do to both our a… https://t.co/5jizt2klVq
2020-11-21 22:35:29	The Fake News is not talking about the fact that “Covid” is running wild all over the World, not just in the U.S. I… https://t.co/oFRtANcxZj
2020-11-21 22:13:05	Joe Biden was a total disaster in handling the H1N1 Swine Flu, would never have produced a Vaccine in record time (… https://t.co/CtzkUndgwK
2020-11-21 21:20:39	“President Trump has done many great things (biggest tax &amp; regulation cuts in history, Space Force, rebuilding our… https://t.co/0rpOJxvBPg
2020-11-21 20:34:36	Watch: Hundreds of Activists Gather for ‘Stop the Steal‘ Rally in Georgia https://t.co/vUG1bqG9yg via  BreitbartNew… https://t.co/WBdptUyDaQ
2020-11-21 17:18:54	Check out @PastorDScott’s new show tonight at 7:00pm on @RealAmVoice. Good luck Darrell! https://t.co/naGlg48evP
2020-11-21 13:58:39	Big voter fraud information coming out concerning Georgia. Stay tuned!
2020-11-21 13:41:35	I agree! https://t.co/dugcH0VjH6
2020-11-21 13:21:20	My son Donald is doing very well. Thank you!
2020-11-21 13:15:24	Massive voter fraud will be shown! https://t.co/F0iGNXtXZP
2020-11-21 13:13:32	This is true, but much different than reported by the media. We will show massive and unprecedented fraud! https://t.co/E1gZiqc7EP
2020-11-21 12:18:11	Trump Announces Groundbreaking Rules to Lower Prescription Drug Prices https://t.co/UUrRe7oZfi via @BreitbartNews
2020-11-21 01:43:19	https://t.co/YHscjY6G8t
2020-11-21 01:42:14	https://t.co/OLZnCJq93Y
2020-11-21 01:42:00	https://t.co/cwOQLhQNFq
2020-11-20 19:38:34	...Why won’t they do it, and why are they so fast to certify a meaningless tally?
2020-11-20 19:38:33	The Governor of Georgia, and Secretary of State, refuse to let us look at signatures which would expose hundreds of… https://t.co/3BswOcxbg1
2020-11-20 18:20:41	News Conference on Reduced Drug Prices at 2:30 P.M.
2020-11-20 13:53:00	Giuliani: The Case for Election Fraud Being Made By Americans https://t.co/yNfaKqYzCO via @BreitbartNews
2020-11-20 13:35:44	We have great support on the Election Hoax! https://t.co/ChpkuZvc4s
2020-11-20 13:01:17	Thank you Elizabeth, LOVE! https://t.co/iopJ0AJ1KV
2020-11-20 12:56:13	The great @FoxNews daytime ratings CRASH will only get worse! https://t.co/GdOWwV7EOY
2020-11-20 12:52:49	RINO Mitt Romney should read this. I’m sure, however, that he feels he got slaughtering by Obama “fair and square”. https://t.co/GGZKfSAp8z
2020-11-20 12:21:00	@justin_hart There will be no lockdowns other than those done by certain Democrat governors!
2020-11-20 12:18:52	Will use these charts in court case. The Election was a HOAX. Thank you Justin! https://t.co/9Ue7ysDIVb
2020-11-20 12:14:28	A Rigged Election! https://t.co/dAviFrkEP4
2020-11-20 12:12:49	Great book! https://t.co/Aq4Qus3u4r
2020-11-20 01:49:29	Look at this in Michigan! A day AFTER the election, Biden receives a dump of 134,886 votes at 6:31AM!… https://t.co/ceAzMnNB56
2020-11-19 23:31:53	So true. Thanks Jody! https://t.co/YnOpHpLkf6
2020-11-19 21:21:28	https://t.co/lJa6syVoqN
2020-11-19 20:27:46	We withdrew because we won! https://t.co/aMoNQXEj4z
2020-11-19 20:26:24	Nolte: Top Pollster Finds 47% Say ‘Likely‘ Democrats Stole Election https://t.co/d8YFhFzA5w via @BreitbartNews Rigged Election!
2020-11-19 17:34:26	Lawyers now on @newsmax, @OANN &amp; maybe @FoxNews. An open and shut case of voter fraud. Massive numbers!
2020-11-19 16:36:58	THE COVID DRUGS NOW AVAILABLE TO MAKE PEOPLE BETTER ARE AMAZING, BUT SELDOM TALKED ABOUT BY THE MEDIA! Mortality rate is 85% down!
2020-11-19 16:22:17	“Evidence of voter fraud continues to grow, including 20,000 dead people on the Pennsylvania voters roll and many t… https://t.co/gArHYUQl6Y
2020-11-19 13:59:47	Almost ZERO ballots rejected in Georgia this election. In years past, close to 4%. Not possible. Must have signatur… https://t.co/tfNWiCT4Fy
2020-11-19 13:46:18	Thousands of uncounted votes discovered in Georgia counties. When the much more important signature match takes pla… https://t.co/QPqQc6jvEM
2020-11-19 12:59:05	Important News Conference today by lawyers on a very clear and viable path to victory. Pieces are very nicely falli… https://t.co/wXWZdjUSHz
2020-11-19 12:46:28	Voter Fraud in Detroit is rampant, and has been for many years!
2020-11-19 12:33:02	VACCINES ARE COMING FAST!!!
2020-11-19 12:31:53	Great job on @foxandfriends today Giancarlo! https://t.co/0IpVcL1gF1
2020-11-19 12:30:21	...And with these numbers, by far the highest for a sitting President, there was no way the Dems could have won, ex… https://t.co/iCv2DSsTFl
2020-11-19 12:19:53	It was my great honor to help, a tremendous achievement! https://t.co/GPduhlZ3FS
2020-11-19 12:17:07	Looking good! https://t.co/4EOWyhWzJ3
2020-11-19 05:41:14	"Dominion-izing the Vote" https://t.co/ZOFsgDXsuH
2020-11-19 05:27:04	“Statistical sampling to prove widespread voter fraud...multiple accounts of fraud and voting irregularities may ov… https://t.co/RR9cJTIVBd
2020-11-19 01:22:17	Look at this in Wisconsin! A day AFTER the election, Biden receives a dump of 143,379 votes at 3:42AM, when they le… https://t.co/oINqJS2olQ
2020-11-18 19:54:03	Thank you @DarrellIssa, so nice! https://t.co/FlUfzV7pSQ
2020-11-18 17:43:52	https://t.co/WqwBtqRH1I
2020-11-18 16:23:38	FLOYD COUNTY, GEORGIA! https://t.co/mIZ5rmdkvw
2020-11-18 16:04:29	The Great State of Michigan, with votes being far greater than the number of people who voted, cannot certify the e… https://t.co/FjzEQZI7bw
2020-11-18 15:41:09	In Detroit, there are FAR MORE VOTES THAN PEOPLE. Nothing can be done to cure that giant scam. I win Michigan!
2020-11-18 15:38:20	“The numbers have not improved, it is still 71% out of balance”, stated Wayne County, Michigan,  Canvassers. “There… https://t.co/SPGTfnOVGV
2020-11-18 14:54:23	THEY WOULD’NT LET REPUBLICAN POLL WATCHERS INTO THE COUNTING ROOMS. UNCONSTITUTIONAL!!!
2020-11-18 14:31:51	The Georgia recount is a joke and is being done UNDER PROTEST. Even though thousands of fraudulent votes have been… https://t.co/pWIpmh6wO6
2020-11-18 14:16:28	They didn’t even allow Republican Observers into the building to watch. A terrible insult to our Constitution! https://t.co/Q8RgaTs6ev
2020-11-18 14:11:52	This was a rigged election. No Republican Poll Watchers allowed, voting machine “glitches” all over the place (mean… https://t.co/T7GxMyz7lf
2020-11-18 13:55:05	Wrong! At first they voted against because there were far more VOTES than PEOPLE (Sad!). Then they were threatened,… https://t.co/mLKOdYG2pM
2020-11-18 13:31:43	...AND I WON THE ELECTION. VOTER FRAUD ALL OVER THE COUNTRY! https://t.co/9coP3R44UQ
2020-11-18 13:15:48	Trump votes. https://t.co/JYEMPg1MJc
2020-11-18 03:20:02	Wow! Governor Kemp will hopefully see the light before it is too late. Must finally take charge! Two GREAT Senators… https://t.co/iewYLwguij
2020-11-18 02:24:59	Well, it’s really quite simple. You just can’t have more votes than people! https://t.co/kVtop3WsLp
2020-11-18 02:22:04	More votes than people, and that is the least of it!!! https://t.co/mSO4Ufwn2g
2020-11-18 02:18:42	Flip Michigan back to TRUMP. Detroit, not surprisingly, has tremendous problems! https://t.co/RHhuoSMICg
2020-11-18 02:11:08	Wow! Michigan just refused to certify the election results! Having courage is a beautiful thing. The USA stands proud!
2020-11-18 01:05:08	“Second Georgia County Finds Thousands More Votes, Majority Are For Trump” https://t.co/9OxCU2faBF
2020-11-18 00:54:35	https://t.co/ciHvx0h6e9
2020-11-18 00:25:56	The only thing secure about our 2020 Election was that it was virtually impenetrable by foreign powers. On that, th… https://t.co/nGrEEFevUd
2020-11-18 00:14:00	THANK YOU! https://t.co/DrtsiD71i4
2020-11-18 00:07:44	...votes from Trump to Biden, late voting, and many more. Therefore, effective immediately, Chris Krebs has been te… https://t.co/hEhB4X4KqZ
2020-11-18 00:07:44	The recent statement by Chris Krebs on the security of the 2020 Election was highly inaccurate, in that there were… https://t.co/bx5h9hqxxH
2020-11-17 22:40:26	“DEAD PEOPLE VOTED” https://t.co/y6WRvCBykc
2020-11-17 22:39:41	https://t.co/GnGXzUZeo9
2020-11-17 22:37:58	https://t.co/Nf8mnRLhy5
2020-11-17 21:39:24	THIS SAYS IT ALL! https://t.co/zZSspsJPe9
2020-11-17 20:47:34	I have reversed the ridiculous decision to cancel Wreaths Across America at Arlington National Cemetery. It will now go on!
2020-11-17 04:20:19	https://t.co/J99jQjt2wY
2020-11-16 23:43:29	Big victory moments ago in the State of Nevada. The all Democrat County Commissioner race, on same ballot as Presid… https://t.co/JCpRUqVjB3
2020-11-16 21:23:05	The rate of rejected Mail-In Ballots is 30 X’s lower in Pennsylvania this year than it was in 2016. This is why the… https://t.co/Boh8eU2hty
2020-11-16 16:59:52	Georgia won’t let us look at the all important signature match. Without that the recount is MEANINGLESS. Open up un… https://t.co/q7AT8sKvKs
2020-11-16 16:11:09	European Countries are sadly getting clobbered by the China Virus. The Fake News does not like reporting this!
2020-11-16 16:02:58	STOCK MARKET GETTING VERY CLOSE TO 30,000 ON NEW VACCINE NEWS. 95% EFFECTIVE!
2020-11-16 15:59:33	They will PACK THE COURTS. We won’t let that happen!
